,0
0,Let me cum & rub u down how ever u want it. Will make it worth your WILD. Sexy lady love to have fun.
1,Let me cum & rub u down how ever u want it. Will make it worth your WILD.Sexy lady love to have fun
2,Hello in town for the weekend looking for someone who wants to check out the city today. If interested send me a pic and you phone number and let's enjoy a night on the town.  I'm in Redwood so please be near the area so we can meet.   I prefer someone around my age or younger than 40. Today is 07/09/16
3,"Visiting for a week and interested in meeting up with a guy for some fun. Staying at a nice hotel in Union Square, if interested please respond with a picture and what you are looking for."
4,"Very intelligent, happy, working, professional, Healthy, patient, clean, honest, sincere, communicative, optimistic, persistent.
I hope a Latino, or White, gentleman with the same conditions, Age 49 and up in my local area.
I do not seek for money and nothing material, only love and moral support.--
Please tell me your name. How old are you? What's your place of origin?Where do you live now?
I like to stay active and excersise daily.. Walk, run or stroll by the beach, the park and contemplate the sunset over the city views.
Looking for someone who are sure of what they are looking for; Read the ad well BEFORE contacting me!
Only in my surrounding Area."
5,"Just like the title says

You are:
Caucasian, very attractive, 28-38
Secure, grounded and kind. A giver... like me.
Creative types are encouraged. Tattooed ex hipsters turned UX designers. Whatever your vice. I am attracted to passionate people. Those who feel connected to nature, and have a love for femininity. Someone who has done his emotional homework and is ready for something with depth. I so dont resonate with the ADD style dating that this city is now famous for. When I bond with someone, I stay through thick and thin...

I honestly love what I do and do very, very well. I feel like a healer of sorts...able to meet peoples needs in a safe, straightforward way. Its fun. It makes me happy. Trips abroad, dinner dates, and unlike the medias representation of it all..I am typically treated like gold.

But they only see the ""perfect me"" when I work.
The true me is saved for friends and my lover.

Physically speaking, I'm curvaceous, and lush...dark blond. Blue grey eyes, not a ton of make up. Lots of booty. Tattooed.

My heart is open to the right guy. My special person, my rock. I am very compartmentalized, I suppose, I have always had a loving supportive partner while Ive worked. I'm turning to Craigslist even though this place is seedy because it actually has struck gold for me once before ;) Bring me someone amazing and loving...

My interests are varied: FLR, documentaries, personal growth, art exhibitions, world travel, animal welfare, ayahuasca, shamanism, cutting edge technology, video games. I am snuggly, deeply emotional, committed to personal growth, laughter, connection and creativity

No poly people. No married dudes. I cant believe I have to write that but apparently, from experience, I do. I have no desire for kids...so someone childfree would be great

Please share a pic when you reply...I have some to share as well
without a photo I am unlikely to read your response, honestly
Im in my 30's but still pass for 27 ;) good genes here...

hope to hear from you"
6,"Hi,
I'm 24, latina, chubby/fat, smart, sweet, witty, and kind.
I tend to like men older than myself.
Have a great night!"
7,"Hi , I am turning 49 this weekend, I am tall, plus size, employeed and dark blonde. I am attracted to tall, white men with a deep voice, and great smile. Realize I am turn 50 in a year and I am not where I want to be. 
If u are up for chatting put a bucket list item in your subject line and tell me about u self. No naked pics please. Use u imagination."
8,"Hello  :) 

I love the rain.....

I am very down to earth and at a good place in my life. I am so ready for someone who is genuine and real... so if this fits you so far... please continue. I don't frequent bars and don't get out much... I am usually at work, at the track .. or with my kids... so thought this would be a good way to find someone. I love just about anything and if I haven't tried it before, I will give it a whirl... 

I appreciate the small things in life and never ever take anything for granted. I am as honest as they come and don't know how to be any other way. I want to find my best friend this time! I'm too old for games or liars... 

I am very open, spontaneous, (however I do like to plan things out too), I love kids, coaching distance runners, camping (but haven't done it lately), I like to surprise my guy with little things to keep things fresh... Relationships take hard work and keeping it fresh is very important. In a week, a month, a year, 5 years... 20 YEARS.. I want to feel that spark... *wink... all we need is honesty and laughter.. yep. 

No one under 47 or over 57 please.

I know there has to be a physical attraction, but what is more important to me is if we ""connect"". Humor is so important too. Thanks for reading! If we don't talk... have a Great 2016!"
9,"Wanted (hopefully alive): A grown-up 60+ gentleman with a twinkle in his eye - ready to engage in a grown-up
relationship with a self-realized woman of substance - ready to see more of the world together.......


I enjoy movies, plays, concerts, travel, etc. - ready to be a partner in a fulfilling and boldly adventurous life with lots
of time together on the home front as well.


If you know who Gaudi is, you will understand my physique - no flat surfaces - all curves in all the right places - and prepared to round out a liaison that is pleasing to both of us.



After all, a home is not really a home if there is no one there to hold you and kiss you good-nite.



If you are single and geographically desirable, then let's just take a chance and meet - let the chips fall where they may. We have nothing to lose!

Please include a photo,  your age,  and the city that you live in with your reply.

Again - please be over 60."
10,"Single, very tall, with dark hair. Would like to find someone to spend time with and eventually have a relationship. 
I'm mellow and a home body these days so it would be great if you enjoyed hanging out with me. Talk and make dinner together. Watch and movie and cuddle up. Stuff like that. 
I'm shy and soft spoken. Not dumb or a doormat. I just won't jockey for position in a conversation. 
I find most people like to talk and I'm okay listening. Although it would be amazing to find someone interested in me. 
I'd love to do all the activities you enjoy but chances are I might be too low key to run all over the place. I met an amazing guy on here but had to face the music that it wouldn't turn into a relationship because he was so busy with things all the time and I knew I couldn't keep up. Bummer. But I'm realistic. 
Things I enjoy. Museums, reading, dancing, shopping, travel and road trips, hole-in-the-wall places, days at the beach, hiking."
11,"Can't help but feel lonely tonight. :( I don't know where to meet someone, it's weird to go to a bar alone to meet someone. I hate dressing up anyway and I feel I would be deceiving someone that way. Anyway I'm wondering if there are any lonely guys who want th meet someone new? By lonely I mean you haven't been with anyone in long time (like me). I'm just a single Asian gal in the Bay Area. I'm not into social events but I dig movies and music. I live a simple and frugal life. 
If anyone want to chat on gmail, send me a reply with an intro about yourself . Please be older and I don't exchange pics. 'll be up for a few more hours."
12,"please Baby,

call me.

Too many misunderstandings in text.

You know our hearts belong together."
13,"Fun gal, looking for an outgoing guy to catch a movie. 

Friends First!

(Not a hook-up, Not FWB, 
Not an NSA)

Meet at Todos Santos (Brenden Theater) or in downtown Walnut Creek (Century). 

Kindly be sane, drug&disease; free, and single. 

**Reply with pic** 

(no pic, no reply)

Add ""popcorn"" to subject line, trying to avoid Spam. 

Cheers"
14,"Are you looking for a new love, a new partner in crime? A woman to grow old with?
I'm looking for a single man, middle age and happy. I am middle age and I love it. Only one thing missing, love and all that that entails."
15,"As Antony said to Cleopatra, as he opened a crate of ale, ""Oh, I say.""

But was she listening--did she even care for ale?--or was her mind musing on some small observation the night before?

There will be time, she thought, time to talk, to muse, to let the music play--but who shall she share these moments with? Many men had written her, had been charmed by her voice among the shadows, hidden behind a screen, but these men faded with time as frequent as the dawn, another disappointing shadow swallowed by the sun. It was not friendship they were after.

Oh, how Helen of Troy was but a man's trophy wife, but that was neither Cleopatra's fate nor her desire. She wanted no great hero, no Odysseus or Paris: why must a good man be so hard to find? A man worth talking to, a man who was charming, witty, and valued beauty in the words--words that added to the physicality with a woman if that is where things should be concluded there--where was such a man to be found? 

The Antonys and Caesars of the world bored her. It was the eve of her 32nd birthday. She wondered where is a man who reads poetry and would write her letters that speak something meaningful to her heart. Where is the man who values building a beautiful friendship and seeing wherever that may go? 

Are you that man? Are your words playful, artful? Will you charm and make her laugh for her birthday?"
16,"Fit, good looking, 5""8, 135lbs, asian, educated, sincer, good sense of humor......looking to meet good looking, tall, educated guy for friend and more.......please reply with your descriptions and photos"
17,"Fit, good looking, 5""8, 135lbs, asian, educated, sincer, good sense of humor......looking to meet good looking, tall, educated guy for friend and more.......please reply with your descriptions and photos"
18,"Fit, athletic asian female, 5""8, 135lbs, educated. Looking to meet attractive, tall, educated professional male for friend and more. Send your photos and description of yourself when reply."
19,"Fit, attractive, in good shape, 5""9, 145lbs, educated, good sense of humor, aincer, honest...looking to meet tall, good looking guy under 36 who also educated and .......please reply with photos and descriptions"
20,"Fit, attractive, 5""8, 135lbs, single professional, educated asian female ..looking to meet tall, good looking, attractive single man. Response with your photos and descriptions of yourself."
21,"I am kind, quiet, active, very petite traditional single mom. I grow up in Asian but life here in bay area for long time.  I am looking for a kind and caring gentlemen to do things with and hopefully share life with one day. I am at my late 40s. You should be in mid-40s to late 50s, live closed by and have stale life.  You are a single AM/WM who wants to build a home together and not afraid to commit when you find her.

We could be a good match if you live healthy life style, love nature, patient, open mind and good personality.  It will be even better if you happened be goat, dog or tiger which I heard but you don't have to be one of these signs.  Please tell me about yourself, age, location, likes and dislike and a current pic when reply. I look forward to meet with you soon!"
22,"Smart, professional lady, looking to meet US grad educated, successful, child-free gentleman for LTR( late 40's to late 50's SWM or SAM) living in the south bay only. Please tell me about yourself, such as: educational background, age, how long you've lived in the bay area and anything else you'd like to add. Please include a pic with your reply and I shall reciprocate to replies with the requested information"
23,"I need a date to Moe's Alley for Amigos Invisibles July 15th and for Pato Banton July 17th. Is there another single person on earth that intends or wants to attend both shows? Maybe hit the Boardwalk for Saturday's intermission?

Low-maintenance old lady, former exotic vixen, now just single and silly, doing the groupie road trip thing on the weekends. I'll be coming into SC from SF, staying in town for the shows, then headed home (hopefully hungover, tanned, and sore from dancing) Monday morning. If sharing in any part of the adventure intrigues you - the drive, the shows, decent company, meeting a hilarious and respectable gal with whom to repeat these antics for more shows in CA beach towns - give me a shout and tell me about yourself.

I like men taller, more muscular/bulkier, more responsible and self-assured than average. Bored by potheads, emotionally guarded mid-life crisis sufferers and under-/oversexed married-but-looking types. If you like your women smarter, funnier, bustier, and less stuck-up than average, we'll have fun at the shows. It would probably help if you have know and love these performers as I do as an icebreaker, but not a requirement. And you don't have to dance unless you want to..."
24,"I'm not looking for a ""hookup"".  I value quality and depth of character.    

And kindness and honesty... 

I am genuine, caring and real.  I like to do a variety of activities.  Let's stay active and explore the bay area together (going to the beach...walking barefoot or some serious hiking, museum/live performance and so on).              

You should have diverse interests and a fan of the great outdoor, generally happy and down to earth:)  

Must be: single (40-47 only), SAFE & CLEAN (drug/disease free), non-smoker, no body art.  Not already in a relationship(s) or getting out of one.        

Only respond if you're looking for the same.  I value my time and yours.  Friendship with common interests is a good starting point.   

Please include a Picture and tell me about yourself."
25,"Seeking a friendship or relationship with someone who is passionate about dancing and nature. I actually live in Santa Barbara but have expanded my search to SF in hopes of connect with a good match. I visit the Bay Area several times a year and may be moving there in 2016. Besides dancing, I enjoy walking, hiking, baking, traveling, national parks, and road trips. :) Include in your email some info about your dance experience and other hobbies. Picture of yourself also appreciated. :)

 Update: Making plans to visit/stay in Sausalito or Mill Valley for a month (hopefully July or August). I would love to have someone to explore the Bay Area and carpool to dances/hikes with. :)

 Please email if you meet the following requirements

 1) Love swing dancing and or lindy.

 2) Love nature 

 3) Under 40."
