,0
0,"I'm just a down to earth country girl who enjoys the activities that keep me going with my loved ones. What you see is what you get with me. I've never been anything but ME. I appreciate honesty and sincerity and when given these things you will always have my utmost respect. I'm a good person with a big heart not just with big heart alone but with big tits and nice bum, however, nothing will set me off into B*tch mode faster than to insult my intelligence and take my kindness for weakness. 

My Best Features:
 My caring heart and a loving spirit. I've been told by those closest to me that my eyes reveal the beautiful spirit that I possess and that my smile can light up a room filled with darkness. I believe in being honest and true to one's self so having said that I know that I can be demanding however I don't expect more from anyone than I am willing to give of myself."
1,"I'm 34 yo woman looking to get married, prefer it to be soon, qualities that are important for me are decency, reliability and hard work. I'm honest, caring, with a European upbringing."
2,"We should definitely talk, I would like to know someone like yourself, even if you're only traveling here for business, I am open to get to know you."
3,"We should talk. Feeling lonely and bored as well 
Talk to me, maybe I can stay with you while you're in NYC"
4,"I'm a deeply passionate woman with a zest for life and an enchanting presence. As someone who speaks multiple languages, traveling a natural part of my life and a great passion. At the moment, I am seeking an arrangement with a gentleman who would be happy to aide me with career & personal goals as I have done something like this before. I desire a connection with someone brilliant, successful and sophisticated. As a woman, I know what I deserve...do you?"
5,"29, single, white, plus size/bbw female from queens here. 

Haven't been having any luck on dating sites and figured I'd try this out. Not keeping my hopes up because unfortunately it seems like there's just a lot of creeps on here. 

I'm looking for a connection with someone and if we click the ideal outcome would be a long term relationship. I'm not trying to jump into something that quickly but that's the end goal. 

I'm 5'7, have a few tattoos, blonde hair and green eyes. I love music and am very laid back. Open minded, not religious and I'll make you laugh for sure!

I'm honestly usually only attracted to white guys/light skinned Hispanic guys that are taller than me. I'm sorry, but it's just a preference. We're all entitled to one! 

ONLY message me if you're 26-36 and you fit the above, I don't want to waste anyone's time. Send a pic and change the subject to your favorite band!"
6,"Over 250 ready and waiting authentic Jamaican men to choose from. Describe your perfect Jamaican man, Cupid send you pics and contacts free to choose from. What happens after up to you."
7,"HOLA CABALLEROS! 

Calling all literate Latinos out there who support local Hispanic writers! If you're a Latino who loves a good read featuring an intelligently written Latino main protagonist and realistic Hispanic characters (and the sexy hot Latinas they lust after), please check out the NEW crime-thriller novel JUNCTION BOULEVARD!

A New York Hispanic story by a New York Hispanic writer! Read the book that's been called ""Catcher in the Rye"" meets ""Carlito's Way!""

NOW AVAILABLE on AMAZON in E-Book format (Kindle and All Other E-Readers) and COMING SOON in Paperback

VIEW a FREE PREVIEW/SAMPLE and Order Today. It's Easy! 
Just go to Amazon.com and search JUNCTION BOULEVARD to preview this gripping new book!

---

JUNCTION BOULEVARD - A Novel by R.M. Scorpio

""The plan had gone straight to hell. The others were dead--or locked up--and if I didn't think of something fast, I'd be next..."" 

A streetwise teenager with nothing to lose. A token booth clerk with no way out. A desperate heist that goes horribly wrong. Just another dark detour down JUNCTION BOULEVARD. . . 

Set on the seedy streets and subways of 1980's Corona, Queens, JUNCTION BOULEVARD blends psychological suspense with urban angst to present a crime-thriller about the pursuit and price of redemption. 

""...A VERY FLUID WRITING STYLE, [WITH] A GOOD EAR FOR DIALOGUE, A GOOD PLOT. . .AND WELL-DEFINED, INTERESTING CHARACTERS."" 
-- J. Schuster, The Literary Group International 

""SHAKESPEAREAN TRAGEDY IN A TOKEN BOOTH!"" 
-- D. Newton, Dirmark Media 


New York City--Summer of '87: Scheming barrio teen RICO SIERRA finds sex and danger on his search for diversion from the mean streets--while troubled token booth clerk JOHN GAVIN finds new love and new hope to get his life back on track. Like the trains that rumble overhead, these two strangers rarely intersect, meeting only at key junctures. But when sadistic deviants bent on extortion threaten to derail John's life, crafty Rico's master plan may be their only avenue of escape. Now, their destinies collide, converging on a desperate heist. But Rico and John learn there are no free rides on this dark detour through Hell--more commonly known as JUNCTION BOULEVARD. 

JUNCTION BOULEVARD was a Top 10 Finalist selected from over 2,600 entries in Simon & Schuster's First Chapters competition!

View your FREE sample of JUNCTION BOULEVARD and ORDER your copy TODAY. Write a nice review and please tell everyone how much you enjoyed this great summer read. Thanks for reading and for supporting local Hispanic artists!"
8,"Are there any literate gents out there who love suspense and provocative crime-thrillers? If you're a smart open-minded man who loves a good hard read, check out the NEW crime-thriller JUNCTION BOULEVARD!

NOW AVAILABLE on AMAZON in E-Book format (Kindle and All Other E-Readers) and COMING SOON in Paperback!

This book is full-on, no apologies guy-lit so yes, gentlemen - for your reading pleasure there's plenty of gritty violence, gripping suspense and explicit sex scenes (especially involving hot Latinas!) to be found here. Who knows? This book might just get your rocks off quicker and cheaper than some of the game-playing women on this site!

VIEW a FREE SAMPLE and if you're intrigued, Order the Full Book TODAY. It's Easy! 
Just go to Amazon.com and search JUNCTION BOULEVARD to read actual chapters of this great new novel!

---

JUNCTION BOULEVARD - A Novel by R.M. Scorpio

""The plan had gone straight to hell. The others were dead--or locked up--and if I didn't think of something fast, I'd be next..."" 

A streetwise teenager with nothing to lose. A token booth clerk with no way out. A desperate heist that goes horribly wrong. Just another dark detour down JUNCTION BOULEVARD. . . 

Set on the seedy streets and subways of 1980's Corona, Queens, JUNCTION BOULEVARD blends psychological suspense with urban angst to present a crime-thriller about the pursuit and price of redemption. 

""...A VERY FLUID WRITING STYLE, [WITH] A GOOD EAR FOR DIALOGUE, A GOOD PLOT. . .AND WELL-DEFINED, INTERESTING CHARACTERS."" 
-- J. Schuster, The Literary Group International 

""SHAKESPEAREAN TRAGEDY IN A TOKEN BOOTH!"" 
-- D. Newton, Dirmark Media 


New York City--Summer of '87: Scheming barrio teen RICO SIERRA finds sex and danger on his search for diversion from the mean streets--while troubled token booth clerk JOHN GAVIN finds new love and new hope to get his life back on track. Like the trains that rumble overhead, these two strangers rarely intersect, meeting only at key junctures. But when sadistic deviants bent on extortion threaten to derail John's life, crafty Rico's master plan may be their only avenue of escape. Now, their destinies collide, converging on a desperate heist. But Rico and John learn there are no free rides on this dark detour through Hell--more commonly known as JUNCTION BOULEVARD. 

JUNCTION BOULEVARD was a Top 10 Finalist selected from over 2,600 entries in Simon & Schuster's First Chapters competition!

View your FREE sample of JUNCTION BOULEVARD and ORDER your copy TODAY. Write a nice review and tell other guys (and open-minded girls) how much you enjoyed this great summer read. After you've wiped yourself off, that is ;)"
9,"Im seeking loving man, thoughtful, sweet, romantic, big heart, single, stable,handsome,straight, gentleman,honest
someone who is willing to give a little time and effort
Not younger than 34
me; Hispanic, attractive, kindhearted very passionate, Im not bbw if your looking for that. 

Race is unimportant. 
Please respond with a photo and a short bio.
Also if you are looking for a one night stand I am not the girl for you please respect that. 

Thank you for stopping by, good luck to everyone"
